Date,VNIndex,XAUUSD,GC_F,SJC
2003-09-03,-0.275831259,-0.467559981,,
2003-09-04,0.000132904,-0.134469011,,
2003-09-05,-0.152795665,0.928930722,,
2003-09-08,-0.16714976,-0.565912386,,
2003-09-09,0.136333073,1.9207329,,
2003-09-10,-0.217155836,-0.62415115,,
2003-09-11,-0.0756846,-0.031281032,,
2003-09-12,-0.401442782,-1.360890947,,
2003-09-15,-0.551098654,-0.251038336,,
2003-09-16,-0.031606444,-0.31449405,,
2003-09-17,0.201258626,0.931031619,,
2003-09-18,-0.153018539,-0.105210033,,
2003-09-19,-0.372918934,1.397207441,,
2003-09-22,0.091639835,1.215518371,,
2003-09-23,-0.037480367,-0.631117933,,
2003-09-24,-0.172274557,1.131967319,,
2003-09-25,1.620578076,-1.047920802,,
2003-09-26,-1.665200382,-1.129844136,,
2003-09-29,-0.272054006,0.305622371,,
2003-09-30,0.078601688,0.718322314,,
2003-10-01,-0.15294259,-0.23152692,-0.244798815,
2003-10-02,-0.244464071,-0.500717556,-0.273239979,
2003-10-03,-0.251762395,-3.656613191,-2.859920439,
2003-10-06,-0.115160829,0.774933501,0.558501225,
2003-10-07,-0.287192989,0.721331545,0.794446668,
2003-10-08,-0.926115104,-0.319943733,-0.385515534,
2003-10-09,-0.154201362,-1.296530052,-1.259007666,
2003-10-10,-0.357762377,0.859763133,0.795790632,
2003-10-13,-0.41123649,0.16706297,0.259422887,
2003-10-14,-0.463075772,0.163614433,0.050627968,
2003-10-15,-0.075576579,-0.627544575,-0.677776276,
2003-10-16,-0.702173514,-0.393541522,-0.034256429,
2003-10-17,-0.276999278,-0.057240208,-0.246241628,
2003-10-20,-0.355810322,0.415524029,0.418584044,
2003-10-21,-0.385388252,2.110334763,1.622089965,
2003-10-22,-0.964882514,1.028582479,0.943743432,
2003-10-23,-1.355178914,-0.302200569,-0.3861745,
2003-10-24,-0.031384703,0.920612294,0.83522277,
2003-10-27,0.46432661,-0.258577806,-0.22481341,
2003-10-28,0.763725611,-1.276934243,-1.016882161,
2003-10-29,0.488841706,0.888314575,0.729901593,
2003-10-30,0.629960272,-0.825453216,-0.562572659,
2003-10-31,1.721034972,0.218844394,0.008390963,
2003-11-03,-0.664366479,-1.964480261,-1.751957795,
2003-11-04,-0.022261234,0.637559787,0.593774555,
2003-11-05,0.190030448,0.388381403,0.558969255,
2003-11-06,0.56884899,-0.422700643,-0.495736564,
2003-11-07,0.358761885,0.779854928,0.577218402,
2003-11-10,0.633324094,0.811293991,0.725812399,
2003-11-11,1.603249142,0.270682491,0.31551185,
2003-11-12,2.410825975,1.630646706,1.563497741,
2003-11-13,2.773267701,0.070663182,-0.191447423,
2003-11-14,1.831397177,0.720155196,0.818933735,
2003-11-17,-0.696544953,-1.947645008,-1.443649355,
2003-11-18,-1.467191773,2.01765004,1.341667658,
2003-11-19,0.822665318,-0.92333491,-0.599812637,
2003-11-20,0.858803223,-0.017748968,-0.28818647,
2003-11-21,1.266213895,0.291692747,0.493292872,
2003-11-24,0.722451785,-1.118619528,-1.058704136,
2003-11-25,0.453767457,-0.089543096,-0.128409924,
2003-11-26,-1.459392745,1.246989155,1.306046618,
2003-11-27,0.61037264,-0.395817051,-0.023395246,
2003-11-28,0.201141233,0.621160257,-0.025324319,
2003-12-01,0.278479502,1.242231458,1.357771457,
2003-12-02,-0.24277738,-0.080457907,0.212877173,
2003-12-03,-0.180873364,0.296027095,0.033437163,
2003-12-04,-0.213891614,-0.485604175,-0.15557831,
2003-12-05,-0.583785856,0.833638822,0.724330819,
2003-12-08,-0.725856839,0.115728922,0.035851261,
2003-12-09,0.58712646,0.288895986,0.377375788,
2003-12-10,-0.199503306,-0.807238247,-0.510250287,
2003-12-11,0.044594552,-0.125456525,-0.427147347,
2003-12-12,0.148203703,1.022312486,1.210275576,
2003-12-15,0.953949164,8.41E-05,-0.065087042,
2003-12-16,1.48872113,-0.587326372,-0.403177717,
2003-12-17,1.238365432,1.405228376,1.095388881,
2003-12-18,-0.324183989,-0.574519949,-0.423712774,
2003-12-19,-0.470242503,-0.392459481,-0.334965757,
2003-12-22,-0.461835983,0.147910971,0.34553912,
